synergyII 20150310c-tip
 1.00000    -0.01018
 0.99994    -0.01018
 0.99663    -0.00992
 0.99037    -0.00943
 0.98274    -0.00881
 0.97429    -0.00810
 0.96550    -0.00734
 0.95658    -0.00657
 0.94763    -0.00578
 0.93866    -0.00499
 0.92966    -0.00420
 0.92067    -0.00340
 0.91168    -0.00261
 0.90269    -0.00183
 0.89369    -0.00105
 0.88468    -0.00027
 0.87570     0.00050
 0.86671     0.00127
 0.85772     0.00202
 0.84873     0.00278
 0.83975     0.00352
 0.83075     0.00425
 0.82176     0.00498
 0.81277     0.00570
 0.80379     0.00641
 0.79479     0.00711
 0.78579     0.00781
 0.77679     0.00851
 0.76780     0.00919
 0.75880     0.00987
 0.74980     0.01054
 0.74078     0.01121
 0.73177     0.01187
 0.72277     0.01253
 0.71377     0.01318
 0.70476     0.01383
 0.69574     0.01447
 0.68674     0.01510
 0.67773     0.01574
 0.66872     0.01636
 0.65971     0.01698
 0.65070     0.01759
 0.64169     0.01820
 0.63268     0.01881
 0.62368     0.01940
 0.61466     0.02000
 0.60564     0.02058
 0.59663     0.02117
 0.58762     0.02175
 0.57861     0.02232
 0.56960     0.02289
 0.56059     0.02344
 0.55158     0.02400
 0.54258     0.02455
 0.53358     0.02508
 0.52458     0.02561
 0.51558     0.02613
 0.50657     0.02665
 0.49756     0.02716
 0.48856     0.02766
 0.47957     0.02815
 0.47058     0.02863
 0.46159     0.02910
 0.45259     0.02956
 0.44358     0.03001
 0.43459     0.03046
 0.42560     0.03089
 0.41662     0.03131
 0.40764     0.03171
 0.39864     0.03211
 0.38963     0.03249
 0.38064     0.03287
 0.37165     0.03324
 0.36267     0.03359
 0.35369     0.03393
 0.34471     0.03426
 0.33573     0.03457
 0.32676     0.03486
 0.31779     0.03515
 0.30882     0.03541
 0.29987     0.03566
 0.29093     0.03589
 0.28199     0.03609
 0.27306     0.03628
 0.26413     0.03644
 0.25521     0.03657
 0.24629     0.03668
 0.23738     0.03676
 0.22848     0.03682
 0.21960     0.03684
 0.21074     0.03683
 0.20189     0.03678
 0.19305     0.03669
 0.18422     0.03657
 0.17541     0.03640
 0.16664     0.03618
 0.15791     0.03591
 0.14921     0.03558
 0.14054     0.03519
 0.13192     0.03473
 0.12335     0.03419
 0.11482     0.03356
 0.10633     0.03285
 0.09793     0.03205
 0.08961     0.03115
 0.08138     0.03012
 0.07325     0.02898
 0.06527     0.02771
 0.05744     0.02630
 0.04982     0.02474
 0.04248     0.02304
 0.03553     0.02120
 0.02911     0.01925
 0.02338     0.01725
 0.01846     0.01529
 0.01442     0.01345
 0.01118     0.01175
 0.00859     0.01021
 0.00651     0.00881
 0.00485     0.00751
 0.00351     0.00629
 0.00243     0.00513
 0.00158     0.00402
 0.00093     0.00293
 0.00045     0.00188
 0.00015     0.00087
 0.00001    -0.00010
 0.00002    -0.00105
 0.00023    -0.00201
 0.00067    -0.00294
 0.00135    -0.00381
 0.00227    -0.00459
 0.00341    -0.00531
 0.00478    -0.00601
 0.00643    -0.00670
 0.00842    -0.00740
 0.01087    -0.00813
 0.01396    -0.00891
 0.01790    -0.00975
 0.02289    -0.01065
 0.02899    -0.01155
 0.03605    -0.01241
 0.04377    -0.01318
 0.05187    -0.01385
 0.06018    -0.01441
 0.06866    -0.01488
 0.07722    -0.01527
 0.08585    -0.01559
 0.09457    -0.01583
 0.10334    -0.01603
 0.11210    -0.01618
 0.12089    -0.01627
 0.12974    -0.01632
 0.13862    -0.01634
 0.14751    -0.01633
 0.15641    -0.01628
 0.16533    -0.01621
 0.17425    -0.01612
 0.18318    -0.01599
 0.19212    -0.01585
 0.20108    -0.01568
 0.21006    -0.01550
 0.21902    -0.01531
 0.22799    -0.01509
 0.23698    -0.01486
 0.24598    -0.01462
 0.25499    -0.01437
 0.26399    -0.01411
 0.27300    -0.01384
 0.28203    -0.01357
 0.29106    -0.01329
 0.30009    -0.01300
 0.30912    -0.01271
 0.31816    -0.01242
 0.32720    -0.01212
 0.33624    -0.01182
 0.34527    -0.01152
 0.35431    -0.01122
 0.36334    -0.01091
 0.37238    -0.01059
 0.38142    -0.01029
 0.39046    -0.00998
 0.39950    -0.00967
 0.40854    -0.00936
 0.41758    -0.00905
 0.42661    -0.00874
 0.43564    -0.00843
 0.44468    -0.00813
 0.45372    -0.00783
 0.46276    -0.00752
 0.47179    -0.00723
 0.48080    -0.00693
 0.48981    -0.00665
 0.49885    -0.00638
 0.50789    -0.00610
 0.51694    -0.00583
 0.52596    -0.00556
 0.53496    -0.00530
 0.54397    -0.00505
 0.55300    -0.00480
 0.56204    -0.00456
 0.57107    -0.00433
 0.58009    -0.00410
 0.58910    -0.00387
 0.59812    -0.00366
 0.60715    -0.00345
 0.61618    -0.00324
 0.62520    -0.00305
 0.63420    -0.00286
 0.64322    -0.00268
 0.65224    -0.00250
 0.66125    -0.00232
 0.67021    -0.00215
 0.67905    -0.00201
 0.68778    -0.00192
 0.69647    -0.00190
 0.70520    -0.00195
 0.71402    -0.00206
 0.72294    -0.00220
 0.73192    -0.00236
 0.74094    -0.00252
 0.74995    -0.00269
 0.75897    -0.00287
 0.76799    -0.00306
 0.77702    -0.00325
 0.78604    -0.00345
 0.79507    -0.00366
 0.80410    -0.00387
 0.81313    -0.00408
 0.82215    -0.00430
 0.83115    -0.00453
 0.84016    -0.00477
 0.84918    -0.00502
 0.85821    -0.00527
 0.86724    -0.00553
 0.87625    -0.00579
 0.88526    -0.00606
 0.89427    -0.00634
 0.90328    -0.00663
 0.91227    -0.00693
 0.92125    -0.00724
