synergyII 20150114-50-root
 1.00000    -0.01039
 0.99995    -0.01039
 0.99658    -0.00989
 0.98992    -0.00894
 0.98201    -0.00787
 0.97355    -0.00676
 0.96493    -0.00566
 0.95626    -0.00457
 0.94757    -0.00351
 0.93887    -0.00246
 0.93016    -0.00143
 0.92145    -0.00042
 0.91273     0.00058
 0.90402     0.00156
 0.89530     0.00252
 0.88655     0.00347
 0.87782     0.00441
 0.86909     0.00533
 0.86034     0.00625
 0.85161     0.00714
 0.84286     0.00803
 0.83410     0.00890
 0.82536     0.00976
 0.81661     0.01061
 0.80785     0.01145
 0.79909     0.01228
 0.79035     0.01310
 0.78162     0.01390
 0.77288     0.01470
 0.76415     0.01548
 0.75541     0.01625
 0.74665     0.01703
 0.73790     0.01779
 0.72914     0.01853
 0.72036     0.01927
 0.71159     0.02001
 0.70284     0.02073
 0.69408     0.02144
 0.68529     0.02215
 0.67652     0.02285
 0.66775     0.02353
 0.65900     0.02421
 0.65026     0.02488
 0.64150     0.02554
 0.63273     0.02619
 0.62394     0.02684
 0.61516     0.02748
 0.60638     0.02811
 0.59760     0.02874
 0.58881     0.02935
 0.58002     0.02996
 0.57123     0.03056
 0.56245     0.03115
 0.55366     0.03173
 0.54488     0.03230
 0.53609     0.03287
 0.52734     0.03343
 0.51859     0.03397
 0.50980     0.03451
 0.50102     0.03505
 0.49223     0.03557
 0.48344     0.03608
 0.47466     0.03659
 0.46589     0.03708
 0.45710     0.03756
 0.44831     0.03804
 0.43954     0.03850
 0.43078     0.03895
 0.42201     0.03938
 0.41325     0.03981
 0.40449     0.04022
 0.39572     0.04062
 0.38696     0.04100
 0.37820     0.04136
 0.36944     0.04172
 0.36069     0.04205
 0.35193     0.04237
 0.34316     0.04266
 0.33440     0.04295
 0.32568     0.04320
 0.31692     0.04343
 0.30817     0.04364
 0.29943     0.04383
 0.29069     0.04399
 0.28197     0.04413
 0.27325     0.04424
 0.26453     0.04431
 0.25584     0.04436
 0.24713     0.04436
 0.23844     0.04434
 0.22976     0.04427
 0.22108     0.04417
 0.21243     0.04403
 0.20379     0.04383
 0.19513     0.04359
 0.18651     0.04330
 0.17793     0.04296
 0.16934     0.04255
 0.16077     0.04209
 0.15225     0.04156
 0.14374     0.04095
 0.13526     0.04027
 0.12681     0.03950
 0.11840     0.03866
 0.11004     0.03771
 0.10173     0.03667
 0.09347     0.03552
 0.08528     0.03424
 0.07717     0.03285
 0.06916     0.03132
 0.06126     0.02964
 0.05348     0.02781
 0.04590     0.02581
 0.03855     0.02363
 0.03150     0.02128
 0.02492     0.01877
 0.01898     0.01617
 0.01397     0.01364
 0.01003     0.01131
 0.00708     0.00928
 0.00491     0.00754
 0.00331     0.00604
 0.00213     0.00471
 0.00125     0.00351
 0.00062     0.00240
 0.00021     0.00137
 0.00001     0.00040
 0.00002    -0.00053
 0.00029    -0.00146
 0.00087    -0.00234
 0.00175    -0.00314
 0.00292    -0.00386
 0.00441    -0.00457
 0.00633    -0.00530
 0.00888    -0.00610
 0.01236    -0.00699
 0.01713    -0.00798
 0.02331    -0.00901
 0.03057    -0.00999
 0.03838    -0.01085
 0.04653    -0.01158
 0.05485    -0.01221
